112,Astraeus,\N,5W,AEU,FLYSTAR,United Kingdom,Y
492,Air Southwest,\N,,WOW,SWALLOW,United Kingdom,Y
508,Aurigny Air Services,\N,GR,AUR,AYLINE,United Kingdom,Y
565,Air Wales,\N,6G,AWW,RED DRAGON,United Kingdom,Y
665,AD Aviation,\N,,VUE,FLIGHTVUE,United Kingdom,Y
690,Air Foyle,\N,GS,UPA,FOYLE,United Kingdom,Y
1355,British Airways,\N,BA,BAW,SPEEDBIRD,United Kingdom,Y
1411,British International Helicopters,\N,BS,BIH,BRINTEL,United Kingdom,Y
1437,bmi,bmi British Midland,BD,BMA,MIDLAND,United Kingdom,Y
1441,bmibaby,\N,WW,BMI,BABY,United Kingdom,Y
1445,British Midland Regional,\N,,BMR,,United Kingdom,Y
1543,British Mediterranean Airways,\N,KJ,LAJ,BEE MED,United Kingdom,Y
1795,BA CityFlyer,\N,CJ,CFE,FLYER,United Kingdom,Y
1923,Crest Aviation,\N,,CAN,CREST,United Kingdom,Y
2117,Eastern Airways,\N,T3,EZE,EASTFLIGHT,United Kingdom,Y
2264,Excel Airways,\N,JN,XLA,EXPO,United Kingdom,Y
2265,Excel Charter,\N,,XEL,HELI EXCEL,United Kingdom,Y
2297,easyJet,EasyJet Airline,U2,EZY,EASY,United Kingdom,Y
2357,First Choice Airways,\N,DP,FCA,JETSET,United Kingdom,Y
2395,Flightline,\N,B5,FLT,FLIGHTLINE,United Kingdom,Y
2421,Flybe,\N,BE,BEE,JERSEY,United Kingdom,Y
2425,Flyglobespan,\N,B4,GSM,GLOBESPAN,United Kingdom,Y
2486,GB Airways,\N,GT,GBL,GEEBEE AIRWAYS,United Kingdom,Y
2761,Highland Airways,\N,,HWY,HIWAY,United Kingdom,Y
3026,Jet2.com,\N,LS,EXS,CHANNEX,United Kingdom,Y
3532,Monarch Airlines,\N,ZB,MON,MONARCH,United Kingdom,Y
3568,MyTravel Airways,\N,VZ,MYT,KESTREL,United Kingdom,Y
3684,Norfolk County Flight College,\N,,NCF,COUNTY,United Kingdom,Y
4113,Kinloss Flying Training Unit,\N,,KIN,KINLOSS,United Kingdom,Y
4323,ScotAirways,\N,,SAY,SUCKLING,United Kingdom,Y
4897,Thomas Cook Airlines,\N,MT,TCX,KESTREL,United Kingdom,Y
5013,Thomsonfly,\N,BY,TOM,TOMSON,United Kingdom,Y
5347,Virgin Atlantic Airways,\N,VS,VIR,VIRGIN,United Kingdom,Y
10642,Jc royal.britannica,,,JRB,,United Kingdom,Y
13936,Royal European Airlines,,69,\N,,United Kingdom,Y
16261,CB Airways UK ( Interliging Flights ),,1F,CIF,,United Kingdom,Y
16881,Air Cudlua,Air Cudlua,,CUD,Cudlua,United Kingdom,Y
19525,BBN-Airways,BlackBurn,,EGH,BBN,United Kingdom,Y
19677,Rainbow Air Euro,Rainbow Air EU,RU,RUE,Rainbow Air,United Kingdom,Y
19808,All Europe,All Europe,N9,N99,,United Kingdom,Y
